image_num,golden_label,predicted_label,energy,output0,output1,output2,output3,output4,output5,output6,output7,output8,output9,latency0,latency1,latency2,latency3,latency4,latency5,latency6,latency7,latency8,latency9
10,0,0,1.2748e-10,0.64482,0.21806,0.32559,0.15367,0.16582,0.23353,0.37776,0.17323,0.2679,0.30619,1.61806e-10,1.61806e-10,1.61806e-10,1.61806e-10,1.61806e-10,1.96973e-10,1.96973e-10,1.61806e-10,2.38574e-10,1.3599e-10
11,6,6,1.2446e-10,0.35727,0.23153,0.24366,0.1409,0.30122,0.33419,0.61974,0.10577,0.33129,0.18455,2.380100000000001e-10,2.9026999999999966e-10,2.380100000000001e-10,1.382499999999996e-10,2.380100000000001e-10,2.9026999999999966e-10,2.380100000000001e-10,2.380100000000001e-10,2.380100000000001e-10,2.380100000000001e-10
12,9,9,1.271e-10,0.27175,0.17853,0.20599,0.27413,0.33879,0.16574,0.1252,0.30255,0.33716,0.52811,2.4608000000000004e-10,1.3784999999999948e-10,1.3784999999999948e-10,2.4608000000000004e-10,1.3784999999999948e-10,2.4608000000000004e-10,2.4608000000000004e-10,2.4608000000000004e-10,1.3784999999999948e-10,2.4608000000000004e-10
13,0,0,1.2567e-10,0.59623,0.20416,0.21369,0.20606,0.18819,0.31649,0.38074,0.11867,0.34164,0.27765,2.376999999999989e-10,2.8469999999999923e-10,2.8469999999999923e-10,2.8469999999999923e-10,2.376999999999989e-10,2.376999999999989e-10,2.376999999999989e-10,2.376999999999989e-10,1.395999999999998e-10,2.376999999999989e-10
14,1,1,1.2555e-10,0.2707,0.64142,0.27729,0.27183,0.20973,0.14628,0.26711,0.14667,0.33245,0.22757,2.7260000000000007e-10,2.7260000000000007e-10,2.7260000000000007e-10,2.7260000000000007e-10,3.2959999999999853e-10,2.7260000000000007e-10,2.7260000000000007e-10,3.2959999999999853e-10,3.2959999999999853e-10,2.0059999999999784e-10
15,5,5,1.2905e-10,0.31241,0.10086,0.19937,0.33098,0.1791,0.591,0.24707,0.22633,0.40967,0.22135,1.8849999999999868e-10,1.8849999999999868e-10,1.8849999999999868e-10,1.6109999999999937e-10,1.6109999999999937e-10,1.8849999999999868e-10,2.877999999999981e-10,2.463999999999995e-10,1.6109999999999937e-10,5.65000000000012e-11
16,9,9,1.2774e-10,0.33871,0.13211,0.2493,0.22846,0.3514,0.17117,0.16965,0.30877,0.31583,0.51325,2.5290000000000023e-10,2.5290000000000023e-10,1.652000000000027e-10,2.5290000000000023e-10,2.5290000000000023e-10,2.5290000000000023e-10,2.5290000000000023e-10,2.5290000000000023e-10,2.5290000000000023e-10,2.5290000000000023e-10
17,7,7,1.2928e-10,0.38136,0.20706,0.245,0.35314,0.094291,0.18438,0.069028,0.63984,0.34375,0.29293,2.8039999999999833e-10,2.8039999999999833e-10,2.8039999999999833e-10,1.9619999999999814e-10,1.9619999999999814e-10,2.8039999999999833e-10,1.9619999999999814e-10,1.9619999999999814e-10,1.63399999999998e-10,1.9619999999999814e-10
18,3,8,1.2587e-10,0.2412,0.22802,0.39063,0.39166,0.1767,0.18122,0.27772,0.20232,0.42189,0.20391,2.0859999999999698e-10,2.0859999999999698e-10,2.0859999999999698e-10,1.4409999999999664e-10,2.790999999999975e-10,1.4409999999999664e-10,2.0859999999999698e-10,2.0859999999999698e-10,2.0859999999999698e-10,2.0859999999999698e-10
19,4,4,1.2914e-10,0.24771,0.18724,0.28501,0.18304,0.66848,0.096977,0.22816,0.31925,0.2176,0.30821,2.8179999999999793e-10,1.3969999999999694e-10,1.8489999999999923e-10,2.8179999999999793e-10,1.8489999999999923e-10,1.8489999999999923e-10,1.8489999999999923e-10,1.8489999999999923e-10,2.8179999999999793e-10,2.8179999999999793e-10
20,9,9,1.2735e-10,0.33703,0.15904,0.23169,0.27334,0.33775,0.15836,0.07849,0.25919,0.32593,0.51576,2.45235e-10,1.97823e-10,1.97823e-10,1.97823e-10,1.97823e-10,1.97823e-10,1.97823e-10,2.45235e-10,1.97823e-10,1.97823e-10
21,6,6,1.2553e-10,0.32422,0.16358,0.22327,0.17995,0.27198,0.44197,0.58932,0.10581,0.36819,0.15825,2.506799999999998e-10,3.3625999999999983e-10,1.9003000000000001e-10,1.9003000000000001e-10,1.9003000000000001e-10,1.9003000000000001e-10,1.9003000000000001e-10,1.9003000000000001e-10,1.9003000000000001e-10,1.9003000000000001e-10
22,6,6,1.2381e-10,0.34316,0.26335,0.16188,0.16077,0.34116,0.35139,0.53742,0.13414,0.29041,0.29353,1.9152000000000018e-10,2.3606999999999875e-10,2.3606999999999875e-10,2.3606999999999875e-10,2.3606999999999875e-10,2.3606999999999875e-10,2.987100000000001e-10,2.3606999999999875e-10,2.3606999999999875e-10,2.3606999999999875e-10
23,5,5,1.2589e-10,0.29995,0.085788,0.12874,0.3335,0.27192,0.59937,0.35251,0.091987,0.37343,0.26353,2.7639999999999876e-10,2.244999999999998e-10,1.8210000000000002e-10,2.244999999999998e-10,2.244999999999998e-10,2.244999999999998e-10,2.244999999999998e-10,1.8210000000000002e-10,1.8210000000000002e-10,1.8210000000000002e-10
24,4,4,1.2774e-10,0.25579,0.18927,0.27781,0.2111,0.64663,0.13297,0.2583,0.33308,0.16876,0.34439,2.5709999999999904e-10,2.5709999999999904e-10,2.083999999999994e-10,2.083999999999994e-10,2.083999999999994e-10,2.083999999999994e-10,2.083999999999994e-10,2.083999999999994e-10,2.083999999999994e-10,2.083999999999994e-10
25,0,0,1.2492e-10,0.59676,0.20573,0.27864,0.1629,0.19031,0.17096,0.36649,0.19484,0.34611,0.26838,2.1029999999999957e-10,3.0070000000000083e-10,2.4999999999999893e-10,2.1029999999999957e-10,2.4999999999999893e-10,2.4999999999999893e-10,2.1029999999999957e-10,1.7539999999999838e-10,2.1029999999999957e-10,2.4999999999999893e-10
26,7,7,1.3199e-10,0.37726,0.26195,0.2138,0.3183,0.16076,0.1761,0.059336,0.68669,0.19798,0.35045,2.7730000000000275e-10,2.7730000000000275e-10,2.7730000000000275e-10,2.7730000000000275e-10,1.7419999999999967e-10,1.1800000000000145e-10,2.3360000000000217e-10,2.3360000000000217e-10,2.7730000000000275e-10,2.7730000000000275e-10
27,4,4,1.2889e-10,0.18429,0.1755,0.28676,0.20257,0.66363,0.11582,0.20833,0.25649,0.21533,0.30303,1.997999999999976e-10,1.997999999999976e-10,2.9639999999999993e-10,1.997999999999976e-10,1.997999999999976e-10,1.707999999999978e-10,2.9639999999999993e-10,1.997999999999976e-10,1.997999999999976e-10,2.9639999999999993e-10
28,0,0,1.276e-10,0.59882,0.20428,0.3361,0.31828,0.14633,0.1662,0.30731,0.21363,0.34651,0.24337,2.3240000000000015e-10,3.3939999999999575e-10,2.3240000000000015e-10,2.0230000000000043e-10,2.3240000000000015e-10,3.3939999999999575e-10,2.3240000000000015e-10,2.0230000000000043e-10,2.0230000000000043e-10,2.3240000000000015e-10
29,1,1,1.2806e-10,0.26907,0.5828,0.20992,0.33255,0.22902,0.25174,0.25721,0.13414,0.30425,0.27362,2.608999999999994e-10,2.608999999999994e-10,1.825000000000018e-10,1.3039999999999699e-10,2.608999999999994e-10,2.608999999999994e-10,2.608999999999994e-10,1.825000000000018e-10,2.608999999999994e-10,3.1789999999999784e-10
30,3,3,1.2922999999999998e-10,0.25321,0.20067,0.22456,0.70751,0.20076,0.25746,0.1226,0.2632,0.36823,0.26949,1.72907e-10,2.11128e-10,1.72907e-10,1.72907e-10,1.72907e-10,1.72907e-10,1.72907e-10,2.11128e-10,2.11128e-10,2.11128e-10
31,1,1,1.3014e-10,0.22596,0.5791,0.21592,0.2997,0.25289,0.18494,0.20401,0.20741,0.24126,0.33538,1.9543000000000002e-10,2.3632999999999974e-10,1.3414999999999958e-10,2.3632999999999974e-10,2.3632999999999974e-10,2.3632999999999974e-10,2.3632999999999974e-10,2.3632999999999974e-10,2.3632999999999974e-10,1.9543000000000002e-10
32,3,3,1.2796e-10,0.25972,0.25993,0.33966,0.64995,0.21662,0.21403,0.18846,0.22893,0.34126,0.18723,2.4987999999999873e-10,2.0589999999999988e-10,2.0589999999999988e-10,2.0589999999999988e-10,2.0589999999999988e-10,1.7341999999999918e-10,2.0589999999999988e-10,2.0589999999999988e-10,2.0589999999999988e-10,2.0589999999999988e-10
33,4,4,1.2308e-10,0.36016,0.24864,0.3639,0.078911,0.54704,0.18534,0.43223,0.19247,0.21561,0.12103,2.5449999999999907e-10,2.987000000000002e-10,1.4759999999999895e-10,1.7109999999999913e-10,1.7109999999999913e-10,1.7109999999999913e-10,1.7109999999999913e-10,2.5449999999999907e-10,1.7109999999999913e-10,1.7109999999999913e-10
34,7,7,1.2968e-10,0.32381,0.26469,0.38109,0.26768,0.15522,0.074901,0.060984,0.58304,0.34639,0.33131,2.376999999999989e-10,1.7009999999999965e-10,1.7009999999999965e-10,2.376999999999989e-10,2.376999999999989e-10,1.7009999999999965e-10,2.376999999999989e-10,2.376999999999989e-10,2.376999999999989e-10,2.376999999999989e-10
35,2,2,1.2857e-10,0.26299,0.30663,0.63275,0.34226,0.10977,0.06525,0.22641,0.25439,0.37508,0.18339,1.8750000000000085e-10,1.8750000000000085e-10,1.8750000000000085e-10,1.8750000000000085e-10,1.8750000000000085e-10,5.93000000000004e-11,1.8750000000000085e-10,1.8750000000000085e-10,1.8750000000000085e-10,1.8750000000000085e-10
36,7,7,1.2781e-10,0.269,0.24089,0.38363,0.30159,0.12682,0.085244,0.10743,0.57509,0.33459,0.2604,2.2830000000000013e-10,2.2830000000000013e-10,2.2830000000000013e-10,3.319000000000005e-10,3.319000000000005e-10,3.319000000000005e-10,2.2830000000000013e-10,2.2830000000000013e-10,2.7430000000000266e-10,2.2830000000000013e-10
37,1,1,1.2844e-10,0.24019,0.61566,0.27619,0.30573,0.21486,0.16133,0.22741,0.19643,0.28823,0.26592,1.996999999999988e-10,1.996999999999988e-10,1.996999999999988e-10,2.9299999999999806e-10,2.9299999999999806e-10,2.9299999999999806e-10,2.9299999999999806e-10,1.996999999999988e-10,2.9299999999999806e-10,2.9299999999999806e-10
38,2,2,1.2753e-10,0.36836,0.33136,0.53803,0.33747,0.10689,0.099478,0.28479,0.20962,0.3742,0.16521,2.2749999999999989e-10,2.2749999999999989e-10,2.2749999999999989e-10,1.458999999999947e-10,1.7039999999999602e-10,1.7039999999999602e-10,2.2749999999999989e-10,3.2799999999999473e-10,1.7039999999999602e-10,2.2749999999999989e-10
39,1,1,1.2866e-10,0.22849,0.63333,0.17293,0.36139,0.18322,0.2484,0.30386,0.14846,0.35694,0.21429,2.531999999999999e-10,1.682000000000028e-10,2.531999999999999e-10,1.682000000000028e-10,2.531999999999999e-10,2.531999999999999e-10,1.682000000000028e-10,1.682000000000028e-10,3.1349999999999814e-10,2.531999999999999e-10
40,1,1,1.2618e-10,0.2854,0.64659,0.23808,0.26683,0.20483,0.16344,0.23247,0.21731,0.32213,0.28042,2.02812e-10,2.02812e-10,2.02812e-10,2.02812e-10,2.02812e-10,2.02812e-10,3.10743e-10,2.02812e-10,2.02812e-10,2.54974e-10
41,7,7,1.255e-10,0.28281,0.34031,0.38546,0.34278,0.16371,0.049441,0.067989,0.56287,0.27038,0.29301,2.825599999999995e-10,2.3216999999999962e-10,2.3216999999999962e-10,1.927299999999996e-10,1.6239999999999936e-10,1.927299999999996e-10,1.927299999999996e-10,2.3216999999999962e-10,2.3216999999999962e-10,1.6239999999999936e-10
42,4,4,1.2683e-10,0.2014,0.22952,0.20007,0.18678,0.62749,0.16017,0.20109,0.24782,0.2504,0.3779,2.440499999999998e-10,2.440499999999998e-10,2.440499999999998e-10,2.440499999999998e-10,2.440499999999998e-10,2.440499999999998e-10,2.440499999999998e-10,2.440499999999998e-10,2.440499999999998e-10,1.8213999999999954e-10
43,2,2,1.2538e-10,0.18835,0.32825,0.54233,0.28957,0.34651,0.11099,0.24749,0.27768,0.28407,0.14236,1.1629999999999886e-10,2.356999999999999e-10,2.356999999999999e-10,2.356999999999999e-10,2.356999999999999e-10,1.6399999999999902e-10,2.356999999999999e-10,2.356999999999999e-10,2.356999999999999e-10,2.356999999999999e-10
44,3,3,1.2657e-10,0.26505,0.31155,0.24229,0.61733,0.27869,0.21719,0.19416,0.23473,0.27863,0.21323,2.1350000000000056e-10,3.3099999999999813e-10,2.1350000000000056e-10,2.1350000000000056e-10,2.1350000000000056e-10,2.666999999999987e-10,2.1350000000000056e-10,2.1350000000000056e-10,2.1350000000000056e-10,2.666999999999987e-10
45,5,5,1.2784e-10,0.32679,0.099202,0.12402,0.36539,0.13008,0.59692,0.25734,0.14378,0.45812,0.25343,1.681000000000007e-10,2.2339999999999987e-10,2.2339999999999987e-10,2.2339999999999987e-10,2.2339999999999987e-10,2.2339999999999987e-10,2.2339999999999987e-10,1.681000000000007e-10,2.2339999999999987e-10,2.2339999999999987e-10
46,1,1,1.2992e-10,0.23057,0.52462,0.24,0.33781,0.2519,0.20068,0.18637,0.26901,0.30318,0.27461,2.5710000000000235e-10,2.5710000000000235e-10,2.5710000000000235e-10,2.5710000000000235e-10,2.5710000000000235e-10,2.5710000000000235e-10,2.5710000000000235e-10,2.5710000000000235e-10,2.5710000000000235e-10,1.3410000000000184e-10
47,2,2,1.2524e-10,0.35117,0.30134,0.68436,0.29335,0.21284,0.049095,0.26298,0.29294,0.31346,0.22227,2.270999999999981e-10,2.270999999999981e-10,2.270999999999981e-10,2.270999999999981e-10,1.9169999999999966e-10,1.9169999999999966e-10,2.270999999999981e-10,2.270999999999981e-10,2.823999999999973e-10,2.270999999999981e-10
48,4,4,1.294e-10,0.18858,0.21975,0.24173,0.11686,0.56413,0.21188,0.26058,0.18978,0.36206,0.31109,2.256999999999952e-10,2.256999999999952e-10,2.256999999999952e-10,2.256999999999952e-10,2.256999999999952e-10,2.691999999999982e-10,3.2519999999999553e-10,2.256999999999952e-10,2.256999999999952e-10,2.256999999999952e-10
49,4,4,1.2841e-10,0.21859,0.13972,0.27127,0.13565,0.70901,0.1863,0.27259,0.22458,0.22907,0.31195,2.475000000000027e-10,1.9960000000000001e-10,2.475000000000027e-10,2.475000000000027e-10,1.9960000000000001e-10,1.9960000000000001e-10,1.607999999999997e-10,2.475000000000027e-10,1.9960000000000001e-10,3.116000000000013e-10
50,6,6,1.256e-10,0.33729,0.18916,0.22548,0.18486,0.28862,0.3478,0.61522,0.098073,0.37448,0.12016,1.68427e-10,1.68427e-10,1.68427e-10,2.75729e-10,1.40745e-10,1.68427e-10,1.68427e-10,1.68427e-10,1.68427e-10,1.68427e-10
51,3,3,1.2651e-10,0.3411,0.17689,0.27978,0.56869,0.18653,0.24798,0.16802,0.21981,0.43614,0.24417,1.584999999999994e-10,1.3482999999999963e-10,2.1525000000000006e-10,2.1525000000000006e-10,2.1525000000000006e-10,2.1525000000000006e-10,2.1525000000000006e-10,2.1525000000000006e-10,2.1525000000000006e-10,2.1525000000000006e-10
52,5,5,1.2651e-10,0.28049,0.091521,0.11984,0.33989,0.2808,0.61213,0.31418,0.10611,0.41736,0.22846,2.489300000000003e-10,2.021199999999993e-10,2.021199999999993e-10,2.489300000000003e-10,2.021199999999993e-10,2.021199999999993e-10,2.489300000000003e-10,2.021199999999993e-10,3.0965999999999994e-10,1.6488999999999983e-10
53,5,5,1.2759e-10,0.31679,0.09091,0.15001,0.28734,0.20948,0.58567,0.28627,0.20673,0.43641,0.24477,2.1819999999999993e-10,3.376999999999998e-10,2.1819999999999993e-10,2.1819999999999993e-10,2.1819999999999993e-10,3.376999999999998e-10,2.1819999999999993e-10,2.1819999999999993e-10,1.361999999999996e-10,2.7249999999999963e-10
54,6,6,1.2199e-10,0.31953,0.25875,0.26106,0.12296,0.29069,0.34333,0.61457,0.073347,0.31589,0.19383,5.7699999999999914e-11,2.7109999999999837e-10,2.7109999999999837e-10,1.8859999999999747e-10,1.8859999999999747e-10,1.8859999999999747e-10,1.8859999999999747e-10,1.8859999999999747e-10,1.8859999999999747e-10,1.8859999999999747e-10
55,0,0,1.2721e-10,0.56602,0.23772,0.25354,0.20572,0.20874,0.16761,0.35319,0.15362,0.38409,0.27134,2.2079999999999824e-10,2.2079999999999824e-10,1.2829999999999924e-10,2.2079999999999824e-10,2.2079999999999824e-10,2.2079999999999824e-10,2.2079999999999824e-10,2.2079999999999824e-10,2.2079999999999824e-10,2.2079999999999824e-10
56,4,4,1.2838e-10,0.17668,0.16173,0.31921,0.13428,0.67851,0.11182,0.26627,0.26774,0.25096,0.29397,2.3830000000000154e-10,1.592000000000025e-10,2.3830000000000154e-10,2.3830000000000154e-10,2.3830000000000154e-10,1.592000000000025e-10,2.3830000000000154e-10,2.3830000000000154e-10,2.3830000000000154e-10,1.592000000000025e-10
57,1,1,1.2658e-10,0.21889,0.66205,0.24073,0.25116,0.28162,0.11672,0.26078,0.20289,0.32178,0.23138,2.8869999999999715e-10,2.4079999999999776e-10,2.4079999999999776e-10,2.4079999999999776e-10,2.4079999999999776e-10,2.8869999999999715e-10,2.8869999999999715e-10,2.4079999999999776e-10,2.4079999999999776e-10,2.4079999999999776e-10
58,9,9,1.2889e-10,0.32969,0.11402,0.23366,0.26116,0.33856,0.21308,0.11111,0.31195,0.33951,0.53681,2.674999999999989e-10,1.9219999999999692e-10,2.674999999999989e-10,2.674999999999989e-10,1.5319999999999902e-10,3.606999999999961e-10,1.9219999999999692e-10,1.5319999999999902e-10,3.606999999999961e-10,2.674999999999989e-10
59,5,5,1.2929e-10,0.32682,0.12823,0.071728,0.3605,0.26975,0.60559,0.23103,0.18557,0.35877,0.26397,1.473999999999964e-10,3.199000000000001e-10,1.8350000000000293e-10,1.8350000000000293e-10,2.2389999999999713e-10,1.8350000000000293e-10,2.2389999999999713e-10,2.2389999999999713e-10,1.473999999999964e-10,1.8350000000000293e-10
60,7,7,1.305e-10,0.34786,0.21884,0.13432,0.4007,0.10123,0.22102,0.06288,0.54935,0.31709,0.37025,1.64297e-10,1.99131e-10,1.99131e-10,1.99131e-10,1.99131e-10,1.99131e-10,1.99131e-10,1.99131e-10,1.99131e-10,1.99131e-10
61,8,8,1.2364e-10,0.28107,0.13385,0.39264,0.25851,0.16875,0.20544,0.23569,0.16498,0.57301,0.2728,2.7835999999999985e-10,1.7296999999999966e-10,2.357199999999997e-10,2.7835999999999985e-10,2.7835999999999985e-10,2.357199999999997e-10,2.7835999999999985e-10,2.357199999999997e-10,2.357199999999997e-10,2.7835999999999985e-10
62,9,9,1.2921e-10,0.28851,0.13232,0.17208,0.27013,0.26347,0.43363,0.20676,0.18868,0.37037,0.49575,3.583000000000003e-10,3.583000000000003e-10,2.1821999999999969e-10,1.528200000000003e-10,2.1821999999999969e-10,2.1821999999999969e-10,2.1821999999999969e-10,3.583000000000003e-10,2.1821999999999969e-10,2.1821999999999969e-10
63,3,3,1.2617e-10,0.30558,0.19358,0.38981,0.56162,0.12776,0.21674,0.078952,0.23536,0.44964,0.30127,1.9609999999999935e-10,2.824999999999994e-10,1.9609999999999935e-10,1.9609999999999935e-10,1.9609999999999935e-10,1.9609999999999935e-10,1.9609999999999935e-10,2.350000000000001e-10,1.6579999999999875e-10,2.350000000000001e-10
64,7,7,1.2754e-10,0.24679,0.16203,0.38466,0.40833,0.20479,0.11706,0.065459,0.53425,0.41003,0.28896,1.997999999999976e-10,1.997999999999976e-10,3.110999999999974e-10,1.997999999999976e-10,2.518000000000003e-10,1.997999999999976e-10,1.5949999999999888e-10,1.997999999999976e-10,2.518000000000003e-10,2.518000000000003e-10
65,4,4,1.2815e-10,0.23884,0.25008,0.1951,0.32542,0.492,0.16195,0.1745,0.20213,0.2754,0.3553,1.8629999999999883e-10,2.272000000000002e-10,2.272000000000002e-10,2.272000000000002e-10,2.272000000000002e-10,2.272000000000002e-10,2.272000000000002e-10,2.272000000000002e-10,2.272000000000002e-10,2.272000000000002e-10
66,6,6,1.2434e-10,0.45358,0.29845,0.29828,0.21223,0.20159,0.21393,0.50638,0.12248,0.33531,0.2915,2.2500000000000036e-10,2.2500000000000036e-10,2.2500000000000036e-10,2.2500000000000036e-10,2.2500000000000036e-10,2.2500000000000036e-10,2.2500000000000036e-10,2.2500000000000036e-10,2.2500000000000036e-10,2.2500000000000036e-10
67,4,4,1.2845e-10,0.19764,0.19509,0.2825,0.174,0.63213,0.14153,0.26667,0.21669,0.21043,0.32012,2.3350000000000007e-10,2.3350000000000007e-10,1.635000000000001e-10,2.3350000000000007e-10,2.3350000000000007e-10,2.3350000000000007e-10,2.3350000000000007e-10,2.3350000000000007e-10,2.3350000000000007e-10,1.635000000000001e-10
68,3,3,1.2994e-10,0.28005,0.1474,0.30591,0.6352,0.17041,0.19091,0.098802,0.20575,0.43182,0.31788,2.433999999999994e-10,1.7849999999999726e-10,1.7849999999999726e-10,2.433999999999994e-10,2.433999999999994e-10,2.433999999999994e-10,2.433999999999994e-10,3.946999999999949e-10,2.433999999999994e-10,3.946999999999949e-10
69,0,0,1.2564e-10,0.57699,0.18321,0.30628,0.20308,0.13638,0.26132,0.39422,0.16365,0.25438,0.32533,2.6560000000000206e-10,2.6560000000000206e-10,3.198000000000013e-10,2.6560000000000206e-10,1.9340000000000225e-10,1.9340000000000225e-10,2.6560000000000206e-10,1.9340000000000225e-10,2.6560000000000206e-10,1.199999999999971e-10
70,7,7,1.2861e-10,0.37496,0.19773,0.24539,0.35088,0.10156,0.1595,0.06765,0.58949,0.39096,0.32294,1.6044e-10,1.97185e-10,1.97185e-10,1.97185e-10,1.6044e-10,1.97185e-10,1.97185e-10,1.97185e-10,1.97185e-10,1.97185e-10
71,0,0,1.2565e-10,0.65001,0.21374,0.30111,0.15151,0.17495,0.23672,0.38835,0.16414,0.27289,0.28051,1.573899999999996e-10,2.6232999999999944e-10,1.573899999999996e-10,1.573899999999996e-10,2.6232999999999944e-10,2.001199999999995e-10,2.001199999999995e-10,2.001199999999995e-10,2.6232999999999944e-10,2.6232999999999944e-10
72,2,2,1.2966e-10,0.42529,0.24634,0.5918,0.35536,0.11415,0.057584,0.20318,0.3163,0.3196,0.20112,2.2300999999999963e-10,2.2300999999999963e-10,2.2300999999999963e-10,2.2300999999999963e-10,1.8579999999999992e-10,2.2300999999999963e-10,2.2300999999999963e-10,2.2300999999999963e-10,1.8579999999999992e-10,2.2300999999999963e-10
73,9,9,1.2878e-10,0.30627,0.1924,0.29325,0.2156,0.30134,0.12601,0.10084,0.23018,0.41826,0.4812,2.20599999999999e-10,2.20599999999999e-10,2.20599999999999e-10,2.20599999999999e-10,2.20599999999999e-10,3.549000000000001e-10,2.20599999999999e-10,2.20599999999999e-10,1.8529999999999935e-10,2.20599999999999e-10
74,1,1,1.2668e-10,0.2667,0.62373,0.21378,0.3133,0.24282,0.16816,0.26511,0.17773,0.29659,0.25247,2.0230000000000043e-10,2.4559999999999923e-10,2.4559999999999923e-10,2.4559999999999923e-10,2.4559999999999923e-10,2.4559999999999923e-10,2.4559999999999923e-10,2.0230000000000043e-10,2.4559999999999923e-10,2.4559999999999923e-10
75,7,7,1.2638e-10,0.26077,0.18549,0.33803,0.31887,0.27757,0.063376,0.064622,0.55727,0.3218,0.3379,1.2330000000000018e-10,2.329999999999995e-10,2.329999999999995e-10,5.520000000000039e-11,2.329999999999995e-10,1.578999999999984e-10,1.578999999999984e-10,2.329999999999995e-10,1.578999999999984e-10,1.578999999999984e-10
76,3,3,1.3030999999999996e-10,0.25017,0.24309,0.29945,0.71299,0.19838,0.24738,0.1521,0.17645,0.36465,0.22684,1.5580000000000064e-10,1.5580000000000064e-10,2.447000000000002e-10,2.087000000000024e-10,2.087000000000024e-10,2.087000000000024e-10,2.447000000000002e-10,2.087000000000024e-10,1.5580000000000064e-10,2.087000000000024e-10
77,2,2,1.2607e-10,0.33976,0.32315,0.61532,0.34108,0.094166,0.056266,0.21036,0.30311,0.31256,0.2519,2.3799999999999856e-10,1.9639999999999903e-10,1.9639999999999903e-10,2.3799999999999856e-10,1.9639999999999903e-10,1.9639999999999903e-10,2.3799999999999856e-10,2.3799999999999856e-10,2.880999999999978e-10,2.3799999999999856e-10
